date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:41	36665/36665	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2008:33:47%20GMT	https://blog.nxtinteractive.sg/blog/category/hr	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/blog.nxtinteractive.sg/blog/category/hr.html	(from https://blog.nxtinteractive.sg/blog/hr-in-the-metaverse)
14:12:42	40774/40774	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2008:32:24%20GMT	https://blog.nxtinteractive.sg/blog/future-of-beauty-cosmetics-industry-in-the-metaverse	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/blog.nxtinteractive.sg/blog/future-of-beauty-cosmetics-industry-in-the-metaverse.html	(from https://blog.nxtinteractive.sg/blog/category/beauty)
14:12:44	44424/44424	---M--	200	added ('OK')	image/jpeg	etag:%22e07c512797c816f4511d6a58b5675dff%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13490/data/thumb/s-6.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13490/data/thumb/s-6.jpg	(from https://blog.nxtinteractive.sg/blog/category/beauty)
14:12:45	41524/41524	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2008:32:27%20GMT	https://blog.nxtinteractive.sg/blog/event-technology-solutions	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/blog.nxtinteractive.sg/blog/event-technology-solutions.html	(from https://blog.nxtinteractive.sg/blog/category/brand)
14:12:46	65759/65759	---M--	200	added ('OK')	image/jpeg	etag:%228b1184c57a22943655f089ea41003780%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13848/data/thumb/s-6.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13848/data/thumb/s-6.jpg	(from https://blog.nxtinteractive.sg/blog/category/brand)
14:12:47	45940/45940	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2008:33:52%20GMT	https://blog.nxtinteractive.sg/blog/difference-between-centralized-and-decentralized-platforms	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/blog.nxtinteractive.sg/blog/difference-between-centralized-and-decentralized-platforms.html	(from https://blog.nxtinteractive.sg/blog/category/events)
14:12:49	225915/225915	---M--	200	added ('OK')	image/png	etag:%22f87880c43449fcf5d059cb3f4c0e0da6%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/15293/data/thumb/s-7.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/15293/data/thumb/s-7.png	(from https://blog.nxtinteractive.sg/blog/category/events)
14:12:49	41688/41688	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2008:33:54%20GMT	https://blog.nxtinteractive.sg/blog/events-registration-technology	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/blog.nxtinteractive.sg/blog/events-registration-technology.html	(from https://blog.nxtinteractive.sg/blog/category/events)
14:12:50	51661/51661	---M--	200	added ('OK')	image/jpeg	etag:%225ffc3322d370e33488df92dff6f927e3%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13782/data/thumb/s-5.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13782/data/thumb/s-5.jpg	(from https://blog.nxtinteractive.sg/blog/category/events)
14:12:51	41343/41343	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2008:32:33%20GMT	https://blog.nxtinteractive.sg/blog/how-an-nft-digital-showroom-can-help-your-business-grow	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/blog.nxtinteractive.sg/blog/how-an-nft-digital-showroom-can-help-your-business-grow.html	(from https://blog.nxtinteractive.sg/blog/category/experential)
